  Nro  ,              Item                          , Cantidad 
1,`Raspberry Pi 3B+ <https://www.raspberrypi.org/products/raspberry-pi-3-model-b-plus/>`_,1
2,`Raspberry Pi Case (Clear) <https://www.modmypi.com/raspberry-pi/cases-183/raspberry-pi-b-plus2-and-3-cases-1122/plastic-cases-1142/raspberry-pi-b-plus23-budget-case-clear>`_,1
3,`Universal Power Supply (5.1V/2.5A) <https://shop.pimoroni.com/products/raspberry-pi-universal-power-supply>`_,1
4,`MicroSD card 16Gb <https://shop.pimoroni.com/products/noobs-16gb-microsd-card>`_,1
5,`Arduino Mega 2560 Rev 3 <https://store.arduino.cc/arduino-mega-2560-rev3>`_,1
6,`USB A to B cable <https://shop.pimoroni.com/products/usb-a-to-b-cable>`_,1
7,`Nut (tuercas) M2.5 Nylon White <https://www.modmypi.com/raspberry-pi/accessories-198/mounting-hardware-1111/nylon-nut-m2.5>`_,10
8,`Screws (tornillos) M2.5 Nylon White <https://www.modmypi.com/raspberry-pi/accessories-198/mounting-hardware-1111/nylon-slotted-cheese-head-screws-m2.5-x-20mm>`_,10
9,`Espaciadores 3.2mm Nylon White <https://www.modmypi.com/raspberry-pi/accessories-198/mounting-hardware-1111/nylon-spacer-3.2mm-id-x-6mm-od-x-5mm-long>`_,10
10,`Nut (tuercas) M3 Nylon Black <http://amzn.eu/4hcZPXn>`_,2
11,`Standoff Hex M3 Nylon Black <http://amzn.eu/4hcZPXn>`_,2
12,`Espaciadores Hex M3 Nylon Black <http://amzn.eu/4hcZPXn>`_,2
13,`Lamina acrilico A4 3mm Matte Black <http://r.ebay.com/vu9JgS>`_,1
14,`Sensor de temperatura DS18B20 (waterproof) <https://create.arduino.cc/projecthub/iotboys/how-to-use-ds18b20-water-proof-temperature-sensor-2adecc>`_,1
15,`Dissolved Oxygen Probe AtlasScientific <https://www.atlas-scientific.com/product_pages/probes/do_probe.html>`_,1
16,`Conductivity Probe K1.0 AtlasScientific <https://www.atlas-scientific.com/product_pages/probes/ec_k1-0.html>`_,1
17,`pH Probe AtlasScientific <https://www.atlas-scientific.com/product_pages/probes/ph_probe.html>`_,1
18,`EZO Dissolved Oxygen Circuit <https://www.atlas-scientific.com/product_pages/circuits/ezo_do.html>`_,1
19,`EZO Conductivity Circuit <https://www.atlas-scientific.com/product_pages/circuits/ezo_ec.html>`_,1
20,`EZO pH Circuit <https://www.atlas-scientific.com/product_pages/circuits/ezo_ph.html>`_,1
21,`Tentacle Shield for Arduino <https://www.whiteboxes.ch/tentacle/?v=79cba1185463#tentacle-t1>`_,1
